feature_idx,feature_type,bert_score,finbert_score,score_change,score_change_pct,bert_financial,finbert_financial,financial_change,financial_change_pct,bert_general,finbert_general,bert_specialization,finbert_specialization,specialization_change
127,FinBERT Financial,0.495633989572525,1.4639778137207031,0.9683438241481781,195.37478149619164,0.488152,1.4151628,0.9270108,189.9020791053772,0.53304374,1.7080526,-0.044891745,0.88211906,0.9270108
103,FinBERT Financial,0.505670964717865,1.3834632635116577,0.8777922987937927,173.58961855433995,0.49389035,1.3677912,0.87390083,176.94227695465088,0.564574,1.4618248,-0.07068366,0.8032172,0.87390083
51,FinBERT Financial,0.2467271387577057,0.9856195449829102,0.7388924062252045,299.477556439716,0.260665,1.0289067,0.7682417,294.7237730026245,0.17703776,0.769184,0.08362724,0.8518689,0.7682417
174,FinBERT Financial,0.39757239818573,1.097198724746704,0.6996263265609741,175.97457211658255,0.42604628,1.1942711,0.76822484,180.31487464904785,0.25520307,0.611837,0.17084321,0.939068,0.76822484
115,FinBERT Financial,0.17181341449419657,0.9719057679176331,0.8000923534234365,465.67513705425006,0.20599538,0.9515837,0.7455883,361.9441747665405,0.07453783,1.0735161,0.13145755,0.87704587,0.7455883
59,FinBERT Financial,0.1705217053492864,0.8272072672843933,0.6566855619351069,385.10379695651744,0.15484324,0.8146145,0.6597712,426.0897636413574,0.2841944,0.89017105,-0.12935117,0.53042006,0.6597712
150,FinBERT Financial,0.42289677262306213,0.9345834255218506,0.5116866528987885,120.99563913079724,0.4488649,1.0551413,0.6062764,135.0687861442566,0.2930562,0.3317944,0.15580872,0.76208514,0.6062764
42,FinBERT Financial,0.19794729351997375,0.6926175951957703,0.4946703016757965,249.900007663344,0.19076084,0.77014655,0.5793857,303.7236213684082,0.23387966,0.30497262,-0.04311882,0.5362669,0.57938576
54,FinBERT Financial,0.1658261408408483,0.7270581722259521,0.5612320313851038,338.44605472893835,0.15718222,0.7099148,0.5527326,351.65083408355713,0.24335465,0.8127748,-0.08617243,0.46656016,0.5527326
56,General,0.1857461780309677,0.69331955909729,0.5075733810663223,273.2618169843039,0.15190543,0.67300254,0.5210971,343.04049015045166,0.3549499,0.794905,-0.20304446,0.31805265,0.5210971
184,FinBERT Financial,0.158320814371109,0.6734398007392883,0.5151189863681793,325.3640327801271,0.14566651,0.6577454,0.5120789,351.54194831848145,0.22159238,0.75191164,-0.07592587,0.43615305,0.51207894
83,FinBERT Financial,0.2799263298511505,0.7119682431221008,0.4320419132709503,154.3412916893836,0.2683153,0.7468351,0.47851983,178.3423662185669,0.33798152,0.53763336,-0.06966624,0.4088536,0.47851983
43,FinBERT Financial,0.15465402603149414,0.5874951481819153,0.43284112215042114,279.877047663975,0.15633541,0.634227,0.47789156,305.6834936141968,0.14624701,0.3538359,0.010088399,0.48797995,0.47789156
52,FinBERT Financial,0.4408227503299713,1.0216268301010132,0.5808040797710419,131.75456106480203,0.43929344,0.8879548,0.44866133,102.1324872970581,0.44846916,1.6899868,-0.009175718,0.4394856,0.44866133
133,General,0.46374866366386414,0.8980581760406494,0.4343095123767853,93.65191673987937,0.42991,0.8765715,0.44666147,103.8965106010437,0.63294196,1.0054916,-0.20303196,0.24362952,0.44666147
48,FinBERT Financial,0.08444412797689438,0.47644078731536865,0.3919966593384743,464.20830995582367,0.07855714,0.5128182,0.43426108,552.796459197998,0.11387901,0.2945535,-0.03532187,0.3989392,0.43426105
106,General,0.19065462052822113,0.6294082403182983,0.4387536197900772,230.13007425389512,0.17977484,0.60382503,0.4240502,235.87851524353027,0.24505362,0.757324,-0.06527878,0.3587714,0.4240502
109,General,0.2765480577945709,0.665363609790802,0.3888155519962311,140.5960161488663,0.26680163,0.663521,0.39671937,148.69450330734253,0.32528037,0.6745768,-0.058478743,0.33824062,0.39671937
65,Consistent Financial,0.4150447408358256,0.8476583361625671,0.43261359532674154,104.23300255667267,0.50445807,0.8728238,0.3683657,73.02206754684448,0.14585428,0.7218311,0.35860378,0.7269695,0.3683657
146,General,0.7020464539527893,1.0435935258865356,0.34154707193374634,48.65020968494407,0.65041846,1.018232,0.36781353,56.55028820037842,0.9601866,1.1704009,-0.30976814,0.058045387,0.36781353
12,General,0.08619702607393265,0.433553010225296,0.3473559841513634,402.9790817300706,0.07198057,0.43322572,0.36124516,501.8648147583008,0.15727928,0.43518943,-0.08529871,0.27594644,0.36124516
37,General,0.45333582162857056,0.7616165280342102,0.30828070640563965,68.00272374200814,0.4528811,0.8140715,0.36119038,79.75391149520874,0.45560956,0.4993411,-0.0027284622,0.35846192,0.36119038
194,General,0.3606630265712738,0.7050788402557373,0.3444158136844635,95.49518201483856,0.33437714,0.68040556,0.34602842,103.48447561264038,0.49209255,0.82844466,-0.15771541,0.188313,0.34602842
199,General,0.5040004253387451,0.7967541813850403,0.29275375604629517,58.08601368729632,0.48514843,0.80434394,0.3191955,65.79337120056152,0.5982601,0.75880533,-0.113111675,0.20608383,0.3191955
44,General,0.44966191053390503,0.8226594924926758,0.37299758195877075,82.95067321043335,0.4506044,0.7557323,0.3051279,67.71524548530579,0.44494957,1.157296,0.0056548417,0.31078273,0.3051279
77,General,0.29804477095603943,0.5234853029251099,0.22544053196907043,75.63982124092428,0.30768046,0.5769507,0.26927027,87.51620650291443,0.24986622,0.25615814,0.05781424,0.3270845,0.26927027
113,General,0.47061723470687866,0.7283053994178772,0.25768816471099854,54.755360770307995,0.44124848,0.7078617,0.26661325,60.42247414588928,0.61746097,0.8305235,-0.17621249,0.090400755,0.26661325
