layer,feature_idx,rank,type,bert_total,finbert_total,improvement,improvement_percentage,top_category,top_category_improvement
0,10758,1,improving,3.4091609716415405,4.635073959827423,1.2259129881858826,35.9593751890119,credit_lending,0.1252955198287964
0,13724,2,improving,2.676485538482666,3.7982602268457413,1.1217746883630753,41.912226613703325,earnings_analysis,0.1346355676651001
0,1438,3,improving,1.6073961332440376,2.6400042325258255,1.0326080992817879,64.24104621762898,derivatives_options,0.13707420229911804
0,9858,4,improving,4.4244149923324585,5.454657465219498,1.0302424728870392,23.285394167227015,derivatives_options,0.11025390028953552
0,7392,5,improving,1.6600334495306015,2.6757548451423645,1.015721395611763,61.18680257800183,credit_lending,0.10908646136522293
0,5366,6,improving,1.4950333908200264,2.4809416085481644,0.985908217728138,65.94556464005198,derivatives_options,0.13337849080562592
0,4362,7,improving,4.142734423279762,5.087421774864197,0.9446873515844345,22.803473570390917,currency_forex,0.10056397318840027
0,5609,8,improving,2.8059172183275223,3.7440220415592194,0.9381048232316971,33.43308967780415,regulatory_compliance,0.14342767000198364
0,20529,9,improving,2.2000134587287903,3.1276585161685944,0.9276450574398041,42.165426286040656,credit_lending,0.11367213726043701
0,4527,10,improving,1.0107149630784988,1.9217658191919327,0.9110508561134338,90.13924601695552,corporate_finance,0.10463422536849976
0,17549,1,decreasing,3.006734922528267,2.002848044037819,-1.003886878490448,-33.38794077355904,,0.0
0,18142,2,decreasing,4.735872507095337,3.7454310208559036,-0.9904414862394333,-20.913601087533138,,0.0
0,12586,3,decreasing,3.088421806693077,2.126458555459976,-0.9619632512331009,-31.147404996093492,,0.0
0,20614,4,decreasing,4.2820810079574585,3.3446551263332367,-0.9374258816242218,-21.8918296429471,,0.0
0,3915,5,decreasing,2.547742560505867,1.6842216104269028,-0.8635209500789642,-33.89357151211348,,0.0
0,5924,6,decreasing,4.612086087465286,3.7516536712646484,-0.8604324162006378,-18.656035425564042,,0.0
0,23854,7,decreasing,2.698867343366146,1.850378755480051,-0.848488587886095,-31.43869174703317,,0.0
0,12260,8,decreasing,3.0362224876880646,2.1922953724861145,-0.8439271152019501,-27.79529879132901,,0.0
0,416,9,decreasing,4.354182317852974,3.510552316904068,-0.843630000948906,-19.375164782428755,,0.0
0,19554,10,decreasing,4.07108362019062,3.232537552714348,-0.8385460674762726,-20.59761340341243,,0.0
1,414,1,improving,1.6457815989851952,3.2483913898468018,1.6026097908616066,97.37681975008769,derivatives_options,0.16931691765785217
1,19188,2,improving,2.550963670015335,4.139428272843361,1.5884646028280258,62.26919713801949,credit_lending,0.18177516758441925
1,3597,3,improving,1.8083087652921677,3.3763918578624725,1.5680830925703049,86.71545003794778,derivatives_options,0.18523851037025452
1,8549,4,improving,2.2311786487698555,3.7699154317379,1.5387367829680443,68.96519814403459,corporate_finance,0.15364502370357513
1,22733,5,improving,2.558686353266239,4.057769000530243,1.4990826472640038,58.58797970652332,market_movements,0.16413794457912445
1,5609,6,improving,2.613739922642708,4.107955291867256,1.4942153692245483,57.167713993403034,corporate_finance,0.20647913217544556
1,6071,7,improving,1.762049213051796,3.2014098912477493,1.4393606781959534,81.68674628186837,credit_lending,0.18952855467796326
1,2502,8,improving,2.0775518491864204,3.4835970401763916,1.4060451909899712,67.6779828514406,currency_forex,0.177793949842453
1,17263,9,improving,2.2386005520820618,3.6316709220409393,1.3930703699588776,62.229519350393645,economic_indicators,0.15968070924282074
1,16724,10,improving,2.871440351009369,4.244901418685913,1.3734610676765442,47.831781092390344,earnings_analysis,0.1525355875492096
1,11388,1,decreasing,5.6737083196640015,3.5437092930078506,-2.129999026656151,-37.54156722367662,,0.0
1,22137,2,decreasing,6.625894665718079,4.621095269918442,-2.004799395799637,-30.257036882077625,,0.0
1,12713,3,decreasing,6.0991747081279755,4.2188780307769775,-1.880296677350998,-30.82870657504494,,0.0
1,15882,4,decreasing,4.769581764936447,2.9044023603200912,-1.865179404616356,-39.10572231757592,,0.0
1,13942,5,decreasing,3.8098177164793015,2.127310834825039,-1.6825068816542625,-44.16239837303417,,0.0
1,20118,6,decreasing,3.745181605219841,2.090244099497795,-1.654937505722046,-44.18844466705259,,0.0
1,12796,7,decreasing,2.938291683793068,1.3534801043570042,-1.5848115794360638,-53.93649591644919,,0.0
1,8470,8,decreasing,5.016112834215164,3.442014127969742,-1.5740987062454224,-31.38084718450369,,0.0
1,16833,9,decreasing,4.490029960870743,2.9353159070014954,-1.5547140538692474,-34.625917064151466,,0.0
1,22681,10,decreasing,4.209399551153183,2.665903016924858,-1.543496534228325,-36.6678551609265,,0.0
2,9403,1,improving,2.2852523997426033,4.083487331867218,1.7982349321246147,78.68867895985096,currency_forex,0.19556352496147156
2,4460,2,improving,1.9264154210686684,3.587134286761284,1.6607188656926155,86.20772232764668,derivatives_options,0.16753895580768585
2,2650,3,improving,3.009608343243599,4.554509729146957,1.5449013859033585,51.33230655205833,commodities_trading,0.1807316541671753
2,9455,4,improving,1.9480871334671974,3.4843686372041702,1.5362815037369728,78.86102574460327,credit_lending,0.18102748692035675
2,5505,5,improving,2.393433228135109,3.924443766474724,1.5310105383396149,63.967129475168996,corporate_finance,0.1509987711906433
2,19269,6,improving,2.0317876636981964,3.556340739130974,1.5245530754327774,75.03505878927957,market_movements,0.15561775863170624
2,21981,7,improving,1.292367398738861,2.8079449385404587,1.5155775398015976,117.27141442544988,fintech_innovation,0.16846014559268951
2,3339,8,improving,2.4635339230298996,3.9493527114391327,1.485818788409233,60.31249533396218,economic_indicators,0.18562990427017212
2,23090,9,improving,2.315805062651634,3.7836759835481644,1.4678709208965302,63.38490826500325,interest_rates_monetary,0.1758299022912979
2,19358,10,improving,1.365031473338604,2.829605355858803,1.4645738825201988,107.29231526133987,derivatives_options,0.15942727029323578
2,11388,1,decreasing,5.466251760721207,3.406314879655838,-2.0599368810653687,-37.68463231238221,,0.0
2,17406,2,decreasing,3.410468727350235,1.4776690229773521,-1.9327997043728828,-56.6725530483699,,0.0
2,13364,3,decreasing,5.674032241106033,3.7927506864070892,-1.881281554698944,-33.155989804820514,,0.0
2,24488,4,decreasing,4.275679036974907,2.4160632342100143,-1.8596158027648926,-43.49287639072424,,0.0
2,13225,5,decreasing,5.712609440088272,3.8665505051612854,-1.8460589349269867,-32.31551099469019,,0.0
2,22137,6,decreasing,5.179063409566879,3.37045980989933,-1.8086035996675491,-34.92144144894061,,0.0
2,11100,7,decreasing,4.198384240269661,2.4517924562096596,-1.7465917840600014,-41.601522870323706,,0.0
2,17612,8,decreasing,5.427814871072769,3.8336940705776215,-1.5941208004951477,-29.369476215078304,,0.0
2,19426,9,decreasing,3.7371146976947784,2.1520901173353195,-1.585024580359459,-42.41305671179609,,0.0
2,16688,10,decreasing,3.5915012806653976,2.010508470237255,-1.5809928104281425,-44.020388201927446,,0.0
3,2602,1,improving,2.5710024684667587,4.748537659645081,2.177535191178322,84.69595846041017,commodities_trading,0.21778126060962677
3,7547,2,improving,2.1329601258039474,4.134970396757126,2.0020102709531784,93.86065108988022,derivatives_options,0.20947976410388947
3,17560,3,improving,2.8261324912309647,4.744003087282181,1.9178705960512161,67.86201974662754,interest_rates_monetary,0.19995296001434326
3,9869,4,improving,2.3970829844474792,4.2900963723659515,1.8930133879184723,78.97154134017819,market_movements,0.22974185645580292
3,2143,5,improving,1.8991388827562332,3.572841539978981,1.6737026572227478,88.1295551160922,regulatory_compliance,0.17006878554821014
3,4460,6,improving,2.1204632595181465,3.776953026652336,1.6564897671341896,78.11923889210351,commodities_trading,0.18812981247901917
3,14375,7,improving,2.0769966393709183,3.7267326563596725,1.6497360169887543,79.42892047940603,credit_lending,0.1756007969379425
3,21754,8,improving,1.4992001950740814,3.1181753128767014,1.61897511780262,107.98925402512336,investment_strategies,0.20153243839740753
3,9403,9,improving,2.650596931576729,4.248744547367096,1.5981476157903671,60.293875342650026,currency_forex,0.17353081703186035
3,4952,10,improving,2.3465079963207245,3.9340682327747345,1.58756023645401,67.65628892710541,market_movements,0.18874748051166534
3,13225,1,decreasing,5.714112788438797,3.3460624665021896,-2.3680503219366074,-41.4421346842086,,0.0
3,13364,2,decreasing,5.494956940412521,3.15134634077549,-2.3436105996370316,-42.65020856007053,,0.0
3,11100,3,decreasing,5.093105047941208,3.090576946735382,-2.002528101205826,-39.31841339269978,,0.0
3,20094,4,decreasing,6.058304935693741,4.084338277578354,-1.973966658115387,-32.58282103343919,,0.0
